[2023-01-10 20:10:59,899] [Command] Playing sound start_game
[2023-01-10 20:11:00,242] [Command] Request refreshing the status of game 0d2ef832-21d2-4bed-8c73-1a035e28452c pointer 3
[2023-01-10 20:11:00,242] [Command] Refresh game status 0d2ef832-21d2-4bed-8c73-1a035e28452c pointer 3
[2023-01-10 20:11:00,291] [Command] Locally updating game
[2023-01-10 20:11:00,311] [Command] Processing 0 unprocessed server events
[2023-01-10 20:11:00,441] [Command] Request refreshing the status of game 0d2ef832-21d2-4bed-8c73-1a035e28452c pointer 3
[2023-01-10 20:11:00,441] [Command] Refresh game status 0d2ef832-21d2-4bed-8c73-1a035e28452c pointer 3
[2023-01-10 20:11:00,488] [Command] Locally updating game
[2023-01-10 20:11:00,498] [Command] Processing 0 unprocessed server events
[2023-01-10 20:11:00,541] [Command] Request refreshing the status of game 0d2ef832-21d2-4bed-8c73-1a035e28452c pointer 3
[2023-01-10 20:11:00,541] [Command] Refresh game status 0d2ef832-21d2-4bed-8c73-1a035e28452c pointer 3
[2023-01-10 20:11:00,584] [Command] Locally updating game
[2023-01-10 20:11:00,594] [Command] Processing 0 unprocessed server events
[2023-01-10 20:11:01,041] [Command] Request refreshing the status of game 0d2ef832-21d2-4bed-8c73-1a035e28452c pointer 3
[2023-01-10 20:11:01,041] [Command] Refresh game status 0d2ef832-21d2-4bed-8c73-1a035e28452c pointer 3
[2023-01-10 20:11:01,113] [Command] Locally updating game
[2023-01-10 20:11:01,123] [Command] Processing 0 unprocessed server events
[2023-01-10 20:11:01,542] [Command] Request refreshing the status of game 0d2ef832-21d2-4bed-8c73-1a035e28452c pointer 3
[2023-01-10 20:11:01,542] [Command] Refresh game status 0d2ef832-21d2-4bed-8c73-1a035e28452c pointer 3
[2023-01-10 20:11:01,624] [Command] Locally updating game
[2023-01-10 20:11:01,634] [Command] Processing 0 unprocessed server events
[2023-01-10 20:11:01,655] [Command] Request placing a symbol on position 1
[2023-01-10 20:11:01,657] [Command] Player 68fff666-88d1-4eea-97a6-bc9b7a546d76 placed a symbol on position 1
